name,chinese,english,math,history,health
student1,88,69,80,97,51
student2,57,99,96,75,69
student3,79,70,59,79,70
student4,97,97,97,54,88
student5,59,74,74,60,100
student6,62,90,66,72,69
student7,74,76,90,68,93
student8,68,99,96,71,71
student9,52,69,80,91,94
student10,67,62,93,55,92
student11,58,84,67,83,91
student12,73,74,74,78,57
student13,96,89,94,91,63
student14,95,90,70,58,87
student15,64,58,51,60,96
student16,83,69,65,50,82
student17,72,70,94,86,90
student18,88,80,80,63,96
student19,82,67,66,50,90
student20,53,72,61,56,90
student21,54,72,79,100,97
student22,90,93,95,52,93
student23,54,53,96,75,95
student24,55,71,63,56,83
student25,55,99,63,80,75
student26,65,68,57,100,68
student27,51,85,97,78,53
student28,59,55,83,50,90
student29,62,55,63,91,51
student30,81,94,50,56,73
student31,72,76,57,93,63
student32,63,81,57,100,76
student33,81,71,55,54,65
student34,99,76,60,67,58
student35,97,73,99,78,63
student36,99,50,62,91,94
student37,78,66,91,61,60
student38,64,60,73,78,55
student39,99,63,83,69,88
student40,54,97,90,96,77
student41,58,61,98,62,72
student42,52,89,98,83,84
student43,52,95,64,59,67
student44,79,79,76,58,71
student45,86,50,65,68,74
student46,75,58,89,89,96
student47,72,95,75,87,62
student48,100,85,96,96,63
student49,58,59,74,89,59
student50,73,56,55,76,96
